title,budget,revenue,runtime,genres,release_date,production_companies,director
Heart Eyes,18000000,31010725,97,"Horror, Comedy, Romance",2025-02-06,"Spyglass Media Group, Divide / Conquer, Ground Control Entertainment",Josh Ruben
Venom: The Last Dance,120000000,478103649,109,"Action, Science Fiction, Adventure",2024-10-22,"Columbia Pictures, Pascal Pictures, Matt Tolmach Productions, Hutch Parker Entertainment, Arad Productions",Kelly Marcel
Memoir of a Snail,4350000,6780428,94,"Animation, Drama, Comedy",2024-10-17,"Arenamedia, Screen Australia",Adam Elliot
Despicable Me 4,100000000,969280910,94,"Animation, Family, Comedy, Science Fiction",2024-06-20,"Universal Pictures, Illumination",Chris Renaud
Gladiator II,310000000,458718000,148,"Action, Adventure, Drama",2024-11-13,"Paramount Pictures, Scott Free Productions, Lucy Fisher/Douglas Wick Productions",Ridley Scott
Flow,3700000,17660107,85,"Animation, Fantasy, Adventure",2024-08-29,"Dream Well Studio, Sacrebleu Productions, Take Five, ARTE France Cinéma, RTBF",Gints Zilbalodis
Kraven the Hunter,120000000,59184643,127,"Action, Adventure, Thriller",2024-12-11,"Columbia Pictures, Matt Tolmach Productions, Arad Productions",J.C. Chandor
Deadpool & Wolverine,200000000,1338073645,128,"Action, Comedy, Science Fiction",2024-07-24,"Marvel Studios, Maximum Effort, 21 Laps Entertainment, 20th Century Studios, Kevin Feige Productions, TSG Entertainment",Shawn Levy
The Wild Robot,78000000,331982078,102,"Animation, Science Fiction, Family",2024-09-12,DreamWorks Animation,Chris Sanders
Inside Out 2,200000000,1698863816,97,"Animation, Adventure, Comedy, Family",2024-06-11,"Walt Disney Pictures, Pixar",Kelsey Mann
Avengers: Infinity War,300000000,2052415039,149,"Adventure, Action, Science Fiction",2018-04-25,Marvel Studios,Joe Russo
The Substance,17500000,76506196,141,"Horror, Science Fiction",2024-09-07,"Working Title Films, Blacksmith, Working Title Films",Coralie Fargeat
Warfare,20000000,8301565,96,"War, Action",2025-04-09,"DNA Films, A24",Ray Mendoza
Companion,10000000,36709101,97,"Horror, Science Fiction, Thriller",2025-01-22,"BoulderLight Pictures, New Line Cinema, Vertigo Entertainment, Subconscious, Domain Entertainment, Warner Bros. Pictures",Drew Hancock
The Ten Commandments,13000000,122700000,220,"Drama, History",1956-10-05,"Paramount Pictures, Motion Picture Associates",Cecil B. DeMille
Dog Man,40000000,134251500,89,"Family, Comedy, Adventure, Animation",2025-01-24,DreamWorks Animation,Peter Hastings
The Alto Knights,45000000,9037963,123,"History, Drama, Crime",2025-03-14,"Warner Bros. Pictures, Winkler Films, Domain Entertainment",Barry Levinson
Anora,6000000,56286295,139,"Drama, Comedy, Romance",2024-10-14,"Cre Film, FilmNation Entertainment",Sean Baker
Red One,250000000,185700759,124,"Action, Comedy, Fantasy",2024-10-31,"Seven Bucks Productions, The Detective Agency, Chris Morgan Productions, Metro-Goldwyn-Mayer",Jake Kasdan
The Avengers,220000000,1518815515,143,"Science Fiction, Action, Adventure",2012-04-25,Marvel Studios,Joss Whedon
Interstellar,165000000,746606706,169,"Adventure, Drama, Science Fiction",2014-11-05,"Legendary Pictures, Syncopy, Lynda Obst Productions",Christopher Nolan
"The Wizard of the Emerald City, Part 1",9100000,34654318,104,"Drama, Fantasy",2025-01-01,"Central Partnership, Kinoslovo, Studio Trite, CGF Films",Igor Voloshin
Black Bag,50000000,34985600,94,"Drama, Mystery, Thriller",2025-03-12,Casey Silver Productions,Steven Soderbergh
Titanic,200000000,2264162353,194,"Drama, Romance",1997-11-18,"Paramount Pictures, 20th Century Fox, Lightstorm Entertainment",James Cameron
Ben-Hur,15000000,164000000,222,"History, Drama, Adventure, Action",1959-11-18,Metro-Goldwyn-Mayer,William Wyler
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,745013115,143,"Adventure, Family, Fantasy",2005-12-07,"Walt Disney Pictures, Walden Media, C.S. Lewis Company",Andrew Adamson
The Gardener,10000000,4772,110,"Action, Comedy",2025-01-30,"uMedia, Rose Productions",David Charhon
xXx,70000000,277448382,124,"Action, Adventure, Thriller, Crime",2002-08-09,"Columbia Pictures, Original Film, Revolution Studios, Neal H. Moritz Productions",Rob Cohen
Elevation,18000000,3300000,91,"Action, Science Fiction, Thriller",2024-11-07,"Lyrical Media, Fuller Media, Inspire Entertainment, Grinder Monkey, John Glenn Entertainment",George Nolfi
Bad Boys: Ride or Die,100000000,404547819,115,"Action, Comedy, Crime, Thriller, Adventure",2024-06-05,"Westbrook, Columbia Pictures, Don Simpson/Jerry Bruckheimer Films, 2.0 Entertainment",Adil El Arbi
The Shawshank Redemption,25000000,28341469,142,"Drama, Crime",1994-09-23,Castle Rock Entertainment,Frank Darabont
The Monkey,10000000,68628211,98,"Horror, Comedy",2025-02-14,"Atomic Monster, C2 Motion Picture Group, Range Media Partners, Oddfellows Entertainment, The Safran Company, Stars Collective",Osgood Perkins
Harry Potter and the Philosopher's Stone,125000000,976475550,152,"Adventure, Fantasy",2001-11-16,"Warner Bros. Pictures, Heyday Films, 1492 Pictures",Chris Columbus
The Godfather,6000000,245066411,175,"Drama, Crime",1972-03-14,"Paramount Pictures, Alfran Productions",Francis Ford Coppola
Alien: Romulus,80000000,350865342,119,"Horror, Science Fiction",2024-08-13,"20th Century Studios, Scott Free Productions, Brandywine Productions",Fede Álvarez
Fast X,340000000,704709660,142,"Action, Crime, Thriller, Adventure, Mystery",2023-05-17,"Universal Pictures, Original Film, One Race, Perfect Storm Entertainment",Louis Leterrier
Smile 2,28000000,138083280,127,"Horror, Mystery",2024-10-16,"Paramount Pictures, Temple Hill Entertainment, Bad Feeling",Parker Finn
Absolution,30000000,3854594,112,"Action, Crime, Thriller, Mystery, Family",2024-10-31,"Electromagnetic Productions, Sculptor Media, north.five.six",Hans Petter Moland
Presence,2000000,9284015,84,"Horror, Drama, Thriller",2025-01-16,"Extension 765, The Spectral Spirit Company",Steven Soderbergh
The Maze Runner,34000000,348319861,113,"Action, Mystery, Science Fiction, Thriller",2014-09-10,"Ingenious Media, The Gotham Group, Dayday Films, Temple Hill Entertainment, TSG Entertainment, 20th Century Fox",Wes Ball
The Last Supper,8000000,6254291,114,"Drama, History",2025-03-14,"Pinnacle Peak Pictures, Canyon Productions, Grand Canyon University, Great American Pure Flix, Wellspring Entertainment, Skyrun Pictures",Mauro Borrelli
Drop,11000000,14812714,95,"Mystery, Thriller",2025-04-10,"Blumhouse Productions, Platinum Dunes",Christopher Landon
The Matrix,63000000,463517383,136,"Action, Science Fiction",1999-03-31,"Village Roadshow Pictures, Groucho II Film Partnership, Silver Pictures, Warner Bros. Pictures",Lana Wachowski
Love Hurts,18000000,16958671,83,"Action, Comedy, Romance",2025-02-06,"87North Productions, Universal Pictures, dentsu",Jonathan Eusebio
Ne Zha 2,80000000,2150000000,144,"Animation, Fantasy, Adventure",2025-01-29,"Chengdu Coco Cartoon, Beijing Enlight Pictures, Chengdu Enlight Animation, Coloroom Pictures",Yang Yu
The King of Kings,20000000,35007883,104,"Animation, Drama, Family, Fantasy",2025-04-07,"MOFAC, GIANTSTEP, Blue Harbor Entertainment",Jang Seong-ho
Terrifier 3,2000000,90322103,125,"Horror, Thriller",2024-10-09,"Cineverse, Bloody Disgusting, Dark Age Cinema, Fuzz on the Lens Productions, The Coven",Damien Leone
The Lord of the Rings: The War of the Rohirrim,30000000,19958572,134,"Animation, Fantasy, Adventure, Action",2024-12-05,"New Line Cinema, Warner Bros. Animation, Sola Entertainment, Middle-earth Enterprises, WingNut Films, Domain Entertainment",Kenji Kamiyama
Heretic,10000000,51913394,111,"Horror, Thriller",2024-10-31,"A24, Beck/Woods, Shiny Penny Productions, CatchLight Studios",Scott Beck
Avatar: The Way of Water,460000000,2320250281,192,"Science Fiction, Adventure, Action",2022-12-14,"20th Century Studios, Lightstorm Entertainment",James Cameron
Shrek,60000000,488628188,90,"Animation, Comedy, Fantasy, Adventure, Family",2001-05-18,"Pacific Data Images, DreamWorks Animation, DreamWorks Pictures",Andrew Adamson
The Dark Knight,185000000,1004558444,152,"Drama, Action, Crime, Thriller",2008-07-16,"Warner Bros. Pictures, Legendary Pictures, Syncopy, DC",Christopher Nolan
Fight Club,63000000,100853753,139,Drama,1999-10-15,"Fox 2000 Pictures, Regency Enterprises, Linson Entertainment, 20th Century Fox, Taurus Film",David Fincher
Top Gun: Maverick,170000000,1488732821,131,"Action, Drama",2022-05-21,"Skydance Media, Don Simpson/Jerry Bruckheimer Films, Paramount Pictures",Joseph Kosinski
The Accountant,44000000,155160045,128,"Crime, Thriller, Drama",2016-10-13,"Zero Gravity Management, Electric City Entertainment, RatPac Entertainment, Warner Bros. Pictures",Gavin O'Connor
Godzilla x Kong: The New Empire,150000000,571750016,115,"Action, Adventure, Science Fiction",2024-03-27,Legendary Pictures,Adam Wingard
Devara : Part 1,24000000,54000000,175,"Action, Drama",2024-09-26,"N. T. R. Arts, Yuvasudha Arts",Koratala Siva
Blade Runner 2049,150000000,259239658,164,"Science Fiction, Drama",2017-10-04,"Alcon Entertainment, Columbia Pictures, Scott Free Productions, Bud Yorkin Productions, Torridon Films, 16:14 Entertainment",Denis Villeneuve
Chhaava,15000000,28000000,161,"History, Action, Drama",2025-02-14,Maddock Films,Laxman Utekar
Nosferatu,50000000,180928503,133,"Horror, Fantasy",2024-12-25,"Focus Features, Studio 8, Maiden Voyage Pictures, Birch Hill Road Entertainment",Robert Eggers
Opus,10000000,2183539,104,"Horror, Mystery, Thriller",2025-03-13,"A24, Makeready, MACRO",Mark Anthony Green
Dune: Part Two,190000000,714444358,167,"Science Fiction, Adventure",2024-02-27,Legendary Pictures,Denis Villeneuve
Justice League,300000000,661326987,120,"Action, Adventure, Science Fiction",2017-11-15,"RatPac Entertainment, Cruel & Unusual Films, Atlas Entertainment, Warner Bros. Pictures, DC Films",Zack Snyder
The Conjuring,13000000,320415166,112,"Horror, Thriller",2013-07-18,"Evergreen Media Group, New Line Cinema, The Safran Company",James Wan
The Garfield Movie,60000000,254907482,100,"Family, Comedy, Adventure, Animation",2024-04-30,"Alcon Entertainment, DNEG, Wayfarer Studios, One Cool Group, Stage 6 Films, Andrews McMeel Entertainment, John Cohen Productions",Mark Dindal
Spider-Man: Homecoming,175000000,880166924,133,"Action, Adventure, Science Fiction, Drama",2017-07-05,"Marvel Studios, Pascal Pictures, LStar Capital, Columbia Pictures",Jon Watts
Gladiator,103000000,465361176,155,"Action, Drama, Adventure",2000-05-04,"Universal Pictures, Scott Free Productions, Red Wagon Entertainment, Mill Film, DreamWorks Pictures",Ridley Scott
"The Good, the Bad and the Ugly",1200000,38900000,161,Western,1966-12-22,"United Artists, PEA, Arturo González PC, Constantin Film",Sergio Leone
Beauty and the Beast,160000000,1266115964,129,"Family, Fantasy, Romance",2017-03-16,"Walt Disney Pictures, Mandeville Films",Bill Condon
The Lion King,45000000,763455561,89,"Family, Animation, Drama",1994-06-15,"Walt Disney Pictures, Walt Disney Feature Animation",Roger Allers
Parasite,11363000,257591776,133,"Comedy, Thriller, Drama",2019-05-30,Barunson E&A,Bong Joon Ho
Inside Out,175000000,857611174,95,"Animation, Family, Adventure, Drama, Comedy",2015-06-17,"Pixar, Walt Disney Pictures",Pete Docter
Barbie,145000000,1445638421,114,"Comedy, Adventure",2023-07-19,"LuckyChap Entertainment, Heyday Films, NB/GG Pictures, Mattel, Warner Bros. Pictures",Greta Gerwig
The Lord of the Rings: The Fellowship of the Ring,93000000,871368364,179,"Adventure, Fantasy, Action",2001-12-18,"New Line Cinema, WingNut Films, The Saul Zaentz Company",Peter Jackson
Coraline,60000000,185860104,100,"Animation, Family, Fantasy",2009-02-05,"Laika, Pandemonium, Pandemonium",Henry Selick
Wicked,150000000,751736617,162,"Drama, Romance, Fantasy",2024-11-20,"Universal Pictures, Marc Platt Productions",Jon M. Chu
Pleasure,1800000,393824,108,Drama,2021-10-08,"Film i Väst, Flamboyance Films, Lemming Film, Plattform Produktion, SVT, Logical Pictures, Grand Slam Film Production, SF Studios",Ninja Thyberg
Spider-Man: Across the Spider-Verse,100000000,690897910,140,"Animation, Action, Adventure, Science Fiction",2023-05-31,"Columbia Pictures, Sony Pictures Animation, Lord Miller, Pascal Pictures, Arad Productions, Marvel Entertainment",Justin K. Thompson
The Wolf of Wall Street,100000000,392000000,180,"Crime, Drama, Comedy",2013-12-25,"Red Granite Pictures, Appian Way, Sikelia Productions, EMJAG Productions",Martin Scorsese
Kung Fu Panda 4,80000000,548040835,94,"Animation, Family, Action, Comedy, Adventure, Fantasy",2024-03-02,DreamWorks Animation,Mike Mitchell
John Wick: Chapter 4,90000000,440157245,170,"Action, Thriller, Crime",2023-03-22,"Thunder Road, 87Eleven, Studio Babelsberg, Lionsgate",Chad Stahelski
Transformers One,75000000,128888103,104,"Animation, Science Fiction, Adventure, Family",2024-09-11,"Paramount Animation, di Bonaventura Pictures, DeSanto/Murphy Productions, Bay Films, New Republic Pictures, Hasbro Entertainment",Josh Cooley
The Super Mario Bros. Movie,100000000,1362000000,93,"Family, Comedy, Adventure, Animation",2023-04-05,"Universal Pictures, Illumination, Nintendo",Michael Jelenic
Babygirl,20000000,60934894,115,Drama,2024-12-25,"A24, 2AM, Man Up Film",Halina Reijn
Schindler's List,22000000,321365567,195,"Drama, History, War",1993-12-15,Amblin Entertainment,Steven Spielberg
Se7en,33000000,327311859,127,"Crime, Mystery, Thriller",1995-09-22,"New Line Cinema, Juno Pix, Arnold Kopelson Productions",David Fincher
Avatar,237000000,2923706026,162,"Action, Adventure, Fantasy, Science Fiction",2009-12-15,"Dune Entertainment, Lightstorm Entertainment, 20th Century Fox, Ingenious Media",James Cameron
Pulp Fiction,8000000,213928762,154,"Thriller, Crime",1994-09-10,"Miramax, A Band Apart, Jersey Films",Quentin Tarantino
Twilight,37000000,393616788,122,"Fantasy, Drama, Romance",2008-11-20,"Summit Entertainment, Temple Hill Entertainment, Maverick Films, Imprint Entertainment, Goldcrest, Aura Films",Catherine Hardwicke
Azrael,12000000,631272,86,"Action, Horror, Thriller",2024-09-27,"C2 Motion Picture Group, Homeless Bob Production, Traffic.",E.L. Katz
Mad Max: Fury Road,150000000,378858340,121,"Action, Adventure, Science Fiction",2015-05-13,"Warner Bros. Pictures, Village Roadshow Pictures, Kennedy Miller Mitchell, RatPac Entertainment",George Miller
Spider-Man,139000000,821708551,121,"Action, Science Fiction",2002-05-01,"Marvel Enterprises, Laura Ziskin Productions, Columbia Pictures",Sam Raimi
Conclave,20000000,115657988,120,"Drama, Thriller, Mystery",2024-10-25,"FilmNation Entertainment, Indian Paintbrush, House Productions",Edward Berger
Paddington in Peru,90000000,190614864,106,"Family, Comedy, Adventure",2024-11-08,"Marmalade Pictures, Kinoshita Group, StudioCanal, Stage 6 Films",Dougal Wilson
Sonic the Hedgehog 2,110000000,405421518,123,"Action, Adventure, Family, Comedy",2022-03-30,"Original Film, Blur Studio, Marza Animation Planet, Paramount Pictures, SEGA, SEGA of America",Jeff Fowler
Dune,165000000,407573628,155,"Science Fiction, Adventure",2021-09-15,Legendary Pictures,Denis Villeneuve
Train to Busan,8500000,87547518,118,"Horror, Thriller, Action, Adventure",2016-07-20,"Next Entertainment World, RedPeter Films, Contents Panda, Union Investment Partners, KTB Network",Yeon Sang-ho
Harry Potter and the Chamber of Secrets,100000000,876688482,161,"Adventure, Fantasy",2002-11-13,"Warner Bros. Pictures, Heyday Films, 1492 Pictures, MIRACLE Productions",Chris Columbus
The Green Mile,60000000,286801374,189,"Fantasy, Drama, Crime",1999-12-10,"Castle Rock Entertainment, Darkwoods Productions",Frank Darabont
Prisoners,46000000,122126687,153,"Drama, Thriller, Crime",2013-09-19,"Alcon Entertainment, 8:38 Productions, Madhouse Entertainment",Denis Villeneuve
Spirited Away,19000000,274925095,125,"Animation, Family, Fantasy",2001-07-20,Studio Ghibli,Hayao Miyazaki
Harry Potter and the Goblet of Fire,150000000,895921036,157,"Adventure, Fantasy",2005-11-16,"Warner Bros. Pictures, Heyday Films, Patalex IV Productions Limited",Mike Newell
The Lion King,260000000,1662020819,118,"Adventure, Drama, Family, Animation",2019-07-12,"Walt Disney Pictures, Fairview Entertainment",Jon Favreau
Zootopia,150000000,1023784195,109,"Animation, Adventure, Family, Comedy",2016-02-11,"Walt Disney Animation Studios, Walt Disney Pictures",Byron Howard
Harry Potter and the Prisoner of Azkaban,130000000,789804554,141,"Adventure, Fantasy",2004-05-31,"Warner Bros. Pictures, 1492 Pictures, Heyday Films, P of A Productions Limited",Alfonso Cuarón
Den of Thieves 2: Pantera,40000000,54586117,144,"Action, Crime, Thriller",2025-01-08,"Diamond Film Productions, G-BASE, Tucker Tooley Entertainment, Lionsgate, Entertainment One Features",Christian Gudegast
Inception,160000000,839030630,148,"Action, Science Fiction, Adventure",2010-07-15,"Legendary Pictures, Syncopy, Warner Bros. Pictures",Christopher Nolan
The Truman Show,60000000,264100000,103,"Comedy, Drama",1998-06-04,"Paramount Pictures, Scott Rudin Productions",Peter Weir
The Robe,4350000,36000000,135,"Drama, History",1953-09-16,20th Century Fox,Henry Koster
Spider-Man: Into the Spider-Verse,90000000,384298736,117,"Animation, Action, Adventure, Science Fiction",2018-12-06,"Columbia Pictures, Lord Miller, Pascal Pictures, Sony Pictures Animation, Arad Productions, Marvel Entertainment",Bob Persichetti
Spider-Man: No Way Home,200000000,1921847111,148,"Action, Adventure, Science Fiction",2021-12-15,"Marvel Studios, Pascal Pictures, Columbia Pictures",Jon Watts
The Lord of the Rings: The Return of the King,94000000,1118888979,201,"Adventure, Fantasy, Action",2003-12-17,"New Line Cinema, WingNut Films, The Saul Zaentz Company",Peter Jackson
Hereditary,10000000,87825916,128,"Horror, Mystery, Thriller",2018-06-07,"PalmStar Media, Pulse Films, Finch Entertainment, Windy Hill Pictures",Ari Aster
Elemental,200000000,496444308,102,"Animation, Comedy, Family, Fantasy, Romance",2023-06-14,"Walt Disney Pictures, Pixar",Peter Sohn
The Brutalist,9000000,49270647,215,Drama,2024-12-20,"Brookstreet Pictures, Kaplan Morrison, Intake Films, Andrew Lauren Productions, Lipsync Productions, Richmond Pictures, Meyohas Studio, Carte Blanche, Pierce Capital Entertainment",Brady Corbet
The Notebook,29000000,115600000,123,"Romance, Drama",2004-05-25,"New Line Cinema, Avery Pix, Gran Via Productions",Nick Cassavetes
Civil War,50000000,126542249,109,"War, Action, Drama",2024-04-10,"DNA Films, IPR.VC, A24",Alex Garland
The Beekeeper,35000000,152720535,105,"Action, Crime, Thriller",2024-01-08,"Miramax, Cedar Park Entertainment, Punch Palace Productions",David Ayer
Avengers: Endgame,356000000,2799439100,181,"Adventure, Science Fiction, Action",2019-04-24,Marvel Studios,Anthony Russo
Pirates of the Caribbean: The Curse of the Black Pearl,140000000,655011224,143,"Adventure, Fantasy, Action",2003-07-09,"Walt Disney Pictures, Jerry Bruckheimer Films",Gore Verbinski
Mission: Impossible - Dead Reckoning Part One,291000000,567535383,164,"Action, Adventure",2023-07-08,"Paramount Pictures, Skydance Media, TC Productions",Christopher McQuarrie
GoodFellas,25000000,46800000,145,"Drama, Crime",1990-09-12,Winkler Films,Martin Scorsese
GoodFellas,25000000,46800000,145,"Drama, Crime",1990-09-12,Winkler Films,Martin Scorsese
The Pursuit of Happyness,55000000,307077295,117,Drama,2006-12-14,"Escape Artists, Relativity Media, Columbia Pictures, Overbrook Entertainment",Gabriele Muccino
Toy Story,30000000,394436586,81,"Animation, Adventure, Family, Comedy",1995-11-22,Pixar,John Lasseter
Coco,175000000,807816196,105,"Family, Animation, Music, Adventure",2017-10-27,"Pixar, Walt Disney Pictures",Lee Unkrich
Furiosa: A Mad Max Saga,170000000,173775791,149,"Action, Science Fiction, Adventure",2024-05-22,"Warner Bros. Pictures, Kennedy Miller Mitchell, Domain Entertainment",George Miller
Jurassic World Dominion,165000000,1001978080,147,"Adventure, Action, Science Fiction",2022-06-01,"Amblin Entertainment, Universal Pictures",Colin Trevorrow
Triangle,12000000,1594955,98,Horror,2009-10-16,"Dan Films, Pictures in Paradise, Icon Productions",Christopher Smith
King of Kings,7775000,13400000,171,"Drama, History",1961-10-11,"Samuel Bronston Productions, Metro-Goldwyn-Mayer",Nicholas Ray
Sonic the Hedgehog,85000000,319715683,99,"Action, Science Fiction, Comedy, Family",2020-02-12,"Original Film, Blur Studio, Marza Animation Planet, Paramount Pictures, SEGA, SEGA of America",Jeff Fowler
The Handmaiden,8575000,38600000,145,"Thriller, Drama, Romance",2016-06-01,"Moho Film, Yong Film, CJ Entertainment",Park Chan-wook
The Count of Monte Cristo,46000000,75360860,178,"Adventure, Action, Drama",2024-06-28,"Chapter 2, Fargo Films, Pathé, M6 Films",Alexandre de La Patellière
Kingdom of the Planet of the Apes,160000000,397378150,145,"Science Fiction, Adventure, Action, Drama, Thriller",2024-05-08,"20th Century Studios, Oddball Entertainment, Jason T. Reed Productions",Wes Ball
Iron Man,140000000,585174222,126,"Action, Science Fiction, Adventure",2008-04-30,"Marvel Studios, Marvel Entertainment, Fairview Entertainment",Jon Favreau
Black Panther: Wakanda Forever,250000000,859102154,162,"Action, Adventure, Science Fiction",2022-11-09,Marvel Studios,Ryan Coogler
The Prince of Egypt,70000000,218613188,99,"Adventure, Animation, Drama, Family",1998-12-16,"DreamWorks Pictures, DreamWorks Animation",Brenda Chapman
Snow White and the Seven Dwarfs,1488423,184925486,83,"Fantasy, Animation, Family",1938-01-14,Walt Disney Productions,David Hand
Big Hero 6,165000000,657870525,102,"Adventure, Family, Animation, Action, Comedy",2014-10-24,"Walt Disney Pictures, Walt Disney Animation Studios",Don Hall
Ice Age,59000000,383257136,81,"Animation, Comedy, Family, Adventure",2002-03-10,"20th Century Fox Animation, Blue Sky Studios, 20th Century Fox",Chris Wedge
Shutter Island,80000000,294804195,138,"Drama, Thriller, Mystery",2010-02-14,"Paramount Pictures, Phoenix Pictures, Sikelia Productions, Appian Way",Martin Scorsese
"Monsters, Inc.",115000000,579700000,92,"Animation, Comedy, Family",2001-11-01,Pixar,Pete Docter
After,14000000,69497587,106,"Romance, Drama",2019-04-11,"CalMaple Films, Wattpad, Offspring Entertainment, Diamond Film Productions, Voltage Pictures, Frayed Pages Entertainment",Jenny Gage
Puss in Boots: The Last Wish,90000000,484700000,103,"Animation, Adventure, Fantasy, Comedy, Family",2022-12-07,DreamWorks Animation,Joel Crawford
Gone Girl,61000000,370890259,149,"Mystery, Thriller, Drama",2014-10-01,"20th Century Fox, Regency Enterprises",David Fincher
Frozen,150000000,1274219009,102,"Animation, Family, Adventure, Fantasy",2013-11-20,"Walt Disney Pictures, Walt Disney Animation Studios",Chris Buck
Migration,72000000,298776052,83,"Animation, Adventure, Comedy, Family",2023-12-06,"Universal Pictures, Illumination",Benjamin Renner
Wrath of Man,40000000,103966489,118,"Action, Crime, Thriller",2021-04-22,"Miramax, Toff Guy Films, Flic Films",Guy Ritchie
La La Land,30000000,509183536,129,"Comedy, Drama, Romance, Music",2016-12-01,"Summit Entertainment, Gilbert Films, Impostor Pictures, Marc Platt Productions",Damien Chazelle
The Terminator,6400000,78371200,108,"Action, Thriller, Science Fiction",1984-10-26,"Hemdale, Pacific Western",James Cameron
Tangled,260000000,592461732,100,"Animation, Family, Adventure",2010-11-24,"Walt Disney Animation Studios, Walt Disney Pictures",Nathan Greno
Fury,68000000,211817906,135,"War, Drama, Action",2014-10-15,"Columbia Pictures, QED International, LStar Capital, Le Grisbi Productions, Crave Films",David Ayer
Forrest Gump,55000000,677387716,142,"Comedy, Drama, Romance",1994-06-23,"Paramount Pictures, The Steve Tisch Company, Wendy Finerman Productions",Robert Zemeckis
The Equalizer,55000000,192330738,132,"Thriller, Action, Crime",2014-09-24,"Lonetree Entertainment, Columbia Pictures, Village Roadshow Pictures, Escape Artists, LStar Capital, Mace Neufeld Productions",Antoine Fuqua
Fifty Shades of Grey,40000000,569651467,125,"Drama, Romance, Thriller",2015-02-11,"Universal Pictures, Focus Features, Michael De Luca Productions, Trigger Street Productions",Sam Taylor-Johnson
Last Breath,23800000,22761967,93,"Thriller, Drama",2025-02-27,"Dark Castle Entertainment, MetFilm Production, Longshot Films, Floating Harbour, FilmNation Entertainment, Thing 44, Aperture Media Partners",Alex Parkinson
Harry Potter and the Order of the Phoenix,150000000,938212738,138,"Adventure, Fantasy",2007-07-08,"Warner Bros. Pictures, Heyday Films",David Yates
Transformers: Rise of the Beasts,195000000,441381193,127,"Science Fiction, Adventure, Action",2023-06-06,"Skydance Media, Paramount Pictures, di Bonaventura Pictures, Bay Films, New Republic Pictures, DeSanto/Murphy Productions, Hasbro",Steven Caple Jr.
Den of Thieves,30000000,80509622,140,"Action, Crime, Thriller",2018-01-18,"Atmosphere Entertainment MM, Diamond Film Productions, G-BASE, Tucker Tooley Entertainment, STXfilms, Universal Pictures",Christian Gudegast
A Quiet Place: Day One,67000000,261907653,99,"Horror, Science Fiction, Thriller",2024-06-26,"Paramount Pictures, Platinum Dunes, Sunday Night Productions",Michael Sarnoski
How to Make Millions Before Grandma Dies,1000000,73800000,127,Drama,2024-04-04,"GDH 559, Jor Kwang Films",Pat Boonnitipat
